Wall time,Step,Value
1611180489.7575943,33738,0.4432651102542877
1611180496.8966365,33750,0.4076176881790161
1611180508.14225,33769,0.4594796299934387
1611180518.224042,33786,0.56904137134552
1611180550.2211213,33840,0.5171170234680176
1611180557.3245983,33852,0.3919428586959839
1611180572.1184542,33877,0.5143346786499023
1611180594.1125393,33914,0.5325062274932861
1611180655.934683,34018,0.6161447763442993
1611180667.2179813,34037,0.4639718532562256
1611180671.3741827,34044,0.42072707414627075
1611180698.796253,34090,0.45671749114990234
1611180729.6943915,34142,0.5214147567749023
1611180860.9355574,34363,0.5199064612388611
1611180873.3741426,34384,0.4845839738845825
1611180905.95686,34439,0.4946039319038391
1611180957.480171,34526,0.43273770809173584
1611180958.07724,34527,0.4966590702533722
1611180980.6827564,34565,0.4669760465621948
1611181001.4163496,34600,0.47225481271743774
1611181006.7570782,34609,0.5311407446861267
1611181110.7961242,34784,0.5546271800994873
1611181167.226602,34879,0.5506372451782227
1611181307.6166544,35116,0.35349053144454956
1611181344.4271364,35178,0.502153754234314
1611181390.14069,35255,0.3974893391132355
1611181436.974913,35334,0.5595357418060303
1611181449.4005318,35355,0.4880216121673584
1611181454.1280792,35363,0.40986549854278564
1611181461.7991855,35376,0.5924030542373657
1611181462.9780838,35378,0.4173680543899536
1611181524.4215162,35482,0.4930093288421631
1611181525.605738,35484,0.40081560611724854
1611181578.792346,35574,0.45927730202674866
1611181696.2689672,35772,0.4535101652145386
1611181700.4126067,35779,0.5483161807060242
1611181739.4708393,35845,0.5135807991027832
1611181742.4383776,35850,0.32046210765838623
1611181804.174489,35954,0.38979560136795044
1611181814.3622756,35971,0.4108918309211731
1611181854.3459587,36038,0.5208494663238525
1611181866.1863565,36058,0.5071317553520203
1611181929.571015,36165,0.4048967957496643
1611181969.202589,36232,0.4550415873527527
1611181978.0621097,36247,0.48027878999710083
1611181987.5123055,36263,0.4077304005622864
1611181995.1940956,36276,0.5204564332962036
1611182015.5592208,36311,0.4223752021789551
1611182030.6926737,36337,0.5251443982124329
1611182167.3541307,36570,0.47113972902297974
1611182202.900364,36630,0.4403706192970276
1611182220.54668,36660,0.46449223160743713
1611182231.6357698,36679,0.6927658319473267
1611182283.9775517,36768,0.4390314221382141
1611182309.4064891,36811,0.5032059550285339
1611182314.733685,36820,0.4494338631629944
1611182333.088104,36851,0.49502915143966675
1611182366.8881729,36908,0.5253782272338867
1611182452.9230742,37054,0.5347117781639099
1611182521.1504703,37170,0.45055580139160156
1611182540.4612026,37203,0.5126376152038574
1611182689.6355004,37456,0.462108850479126
1611182709.6758678,37490,0.5546252131462097
1611182872.0232115,37765,0.5551375150680542
1611182938.2265115,37877,0.549814760684967
1611183124.6873899,38193,0.3396380841732025
1611183157.2991364,38248,0.3798924386501312
1611183166.1751568,38263,0.4933978319168091
1611183227.2355657,38366,0.43284982442855835
1611183271.0182457,38440,0.41538357734680176
1611183280.543318,38456,0.47261327505111694
1611183287.0507238,38467,0.48340076208114624
1611183307.184599,38501,0.4211081266403198
1611183354.5988553,38581,0.6596071720123291
1611183391.122082,38642,0.5081188678741455
1611183391.7162786,38643,0.5877425670623779
1611183426.0763686,38701,0.4023612141609192
1611183437.9801404,38721,0.547589898109436
1611183463.5857346,38764,0.5606504082679749
1611183509.4325187,38841,0.5103034377098083
1611183593.0521057,38982,0.6330534219741821
1611183607.344202,39006,0.49700555205345154
1611183688.076548,39142,0.4328579306602478
1611183744.9656994,39238,0.5148873329162598
1611183779.9696295,39297,0.532210111618042
1611183786.5924454,39308,0.4896063506603241
1611183954.7862816,39592,0.4408108592033386
1611184020.3013005,39703,0.5167276859283447
1611184036.8194208,39731,0.6274619102478027
1611184066.979787,39782,0.48109644651412964
1611184124.4711552,39879,0.4429777264595032
1611184142.834887,39910,0.40622997283935547
1611184145.782463,39915,0.43484431505203247
1611184155.8267882,39932,0.5701493620872498
1611184208.3707964,40021,0.46501004695892334
1611184329.4255419,40225,0.43879443407058716
1611184372.1088462,40297,0.44117218255996704
1611184486.2037945,40489,0.39341413974761963
1611184493.2213483,40501,0.5136299133300781
1611184512.1057196,40533,0.5410122871398926
1611184528.6905718,40561,0.47829049825668335
1611184579.928307,40648,0.5021939277648926
1611184585.7594037,40658,0.4620913863182068
1611184589.2501915,40664,0.6117875576019287
1611184591.5793142,40668,0.4880451560020447
1611184609.727436,40699,0.4064629077911377
1611184610.9070392,40701,0.44841915369033813
1611184619.1776114,40715,0.4765612483024597
1611184622.7182748,40721,0.6113507747650146
1611184665.6207929,40794,0.4450780153274536
1611184811.6036952,41041,0.4438014626502991
1611184863.6693404,41129,0.4323951005935669
1611184879.0659273,41155,0.6023972034454346
1611184932.3415139,41245,0.4806741178035736
1611184948.3317955,41272,0.42317917943000793
1611184989.676395,41342,0.47415298223495483
1611185029.925739,41410,0.423947274684906
1611185078.6290128,41492,0.5035398006439209
1611185107.0665345,41540,0.5573717355728149
1611185116.4743664,41556,0.5512007474899292
1611185249.3767884,41781,0.4662764072418213
1611185287.1499612,41845,0.5143631100654602
1611185302.8947966,41872,0.45568591356277466
1611185383.0551875,42007,0.5076930522918701
1611185387.2145748,42014,0.47421136498451233
1611185459.0976386,42135,0.3940942585468292
1611185473.285562,42159,0.4574761688709259
1611185487.4390821,42183,0.4743849039077759
1611185524.136694,42245,0.4500293731689453
1611185580.51153,42340,0.4703604280948639
1611185646.0546758,42451,0.5149240493774414
1611185656.6542795,42469,0.4384385943412781
1611185675.1563518,42500,0.5924046039581299
1611185739.9302948,42609,0.4108807444572449
1611185781.5696566,42679,0.4458093047142029
1611185839.896426,42777,0.5938152074813843
1611185931.8103454,42932,0.47889989614486694
1611185951.4501898,42965,0.39111047983169556
1611185961.4974394,42982,0.5474383234977722
